count_total,raw_skill,esco_uri,esco_label,match_1,match_2,match_3
672,Користувач 1С,http://data.europa.eu/esco/skill/6ae8306a-4f9d-4410-ac82-6406f3cbd16a,керувати офісними системами,Correct,Acceptable,Correct
663,Керування транспортними засобами,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,керувати транспортними засобами,Correct,Correct,Correct
650,Ведення документації,http://data.europa.eu/esco/skill/3a815994-6a80-4210-9588-1bb23fc005b3,вести документацію доку,Correct,Correct,Correct
625,Викладка товару,http://data.europa.eu/esco/skill/51317990-9672-4635-bd76-7882718af136,техніка мерчендайзингу,Correct,Correct,Correct
596,вміння працювати з клієнтами,http://data.europa.eu/esco/skill/b7c8f418-08d5-45d6-b697-ab26c6ecbfb4,забезпечувати орієнтованість на клієнта,Correct,Correct,Acceptable
583,вміння працювати з документацією,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1,документообіг,Correct,Correct,Incorrect
574,Інвентаризація,http://data.europa.eu/esco/skill/7336bc42-d917-40c2-8791-2ac798c89067,проводити інвентаризацію нерухомого майна,Acceptable,Correct,Acceptable
556,організація робочого процесу,http://data.europa.eu/esco/skill/7add3681-17b6-4027-8a9d-ee92d2b96a42,керувати робочими процесами,Correct,Correct,Correct
548,комунікація з клієнтами,http://data.europa.eu/esco/skill/cd990eab-c6a9-4c11-b17d-b12a98f6573b,налагоджувати взаєморозуміння з клієнтами,Acceptable,Correct,Correct
540,управління персоналом,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,керувати персоналом,Correct,Correct,Correct
523,ведення CRM,http://data.europa.eu/esco/skill/c753a3b5-d5cc-406d-adfe-3372bb267f4b,вести облік клієнтів,Correct,Acceptable,Acceptable
510,Уміння аналізувати,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити,Correct,Correct,Correct
509,Викладка товарів,http://data.europa.eu/esco/skill/7e9daad3-8604-4839-af9b-dc6f8db3ef68,запасати товари на полицях,Acceptable,Correct,Correct
502,консультування клієнтів,http://data.europa.eu/esco/skill/ac6ff889-328b-46ea-a8ee-e196443b2447,консультувати клієнтів,Correct,Correct,Correct
475,Adobe Photoshop,http://data.europa.eu/esco/skill/91ba97f5-7518-4638-b2d2-308996db3cf8,виконувати редагування зображень,Correct,Acceptable,Correct
475,організація робочого місця,http://data.europa.eu/esco/skill/e5e48620-8476-42e9-bfa9-ffe0282a8ab0,організовувати робочий простір,Correct,Correct,Correct
460,Охайність,http://data.europa.eu/esco/skill/66509193-f1ce-44a6-8c4e-db24dcd19cdd,готувати особисте робоче місце,Acceptable,Correct,Acceptable
441,організаційні навички,http://data.europa.eu/esco/skill/5e80353d-53ed-4e64-a5ff-0e3ec52156fa,керувати логістичними функціями,Incorrect,Acceptable,Acceptable
435,Грамотна усна та письмова мова,http://data.europa.eu/esco/skill/96ae5ab6-d696-4d4f-be1c-d02e722c6f55,застосовувати правила граматики та правопису,Acceptable,Correct,Acceptable
435,Водійські права кат. B,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,керувати транспортними засобами,Correct,Correct,Correct
434,акуратність,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям,Acceptable,Correct,Correct
428,1С,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,бухгалтерський облік,Correct,Correct,Correct
427,Старанність,http://data.europa.eu/esco/skill/f83c245f-4aa9-484f-8fd2-4ad65dd82ae5,проявляти пильність,Acceptable,Correct,Correct
409,Ввічливість,http://data.europa.eu/esco/skill/7e5786f8-1174-4f75-97e3-cfecfd95d797,надавати послуги на високому рівні,Acceptable,Correct,Incorrect
400,вміння працювати з документами,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1,документообіг,Correct,Correct,Correct
398,енергійність,http://data.europa.eu/esco/skill/74aa45cf-175f-47ef-9978-d9de437d92ba,бути напоготові,Acceptable,Acceptable,Acceptable
398,вміння вирішувати проблеми,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,розв’язувати проблеми,Correct,Correct,Correct
395,Неконфліктність,http://data.europa.eu/esco/skill/cd990eab-c6a9-4c11-b17d-b12a98f6573b,налагоджувати взаєморозуміння з клієнтами,Acceptable,Correct,Correct
393,Управління командою,http://data.europa.eu/esco/skill/75e48971-3242-4ea5-a1ba-4deec48ad41c,керувати роботою команди,Correct,Correct,Correct
392,Підбір персоналу,http://data.europa.eu/esco/skill/5aa57bdc-5765-435e-8fc9-99b3febdb213,наймати персонал на роботу,Correct,Correct,Correct
392,Ведення бухгалтерського обліку,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,бухгалтерський облік,Correct,Correct,Correct
386,Клієнтоорієнтованість,http://data.europa.eu/esco/skill/b7c8f418-08d5-45d6-b697-ab26c6ecbfb4,забезпечувати орієнтованість на клієнта,Correct,Correct,Correct
380,прийом товару,http://data.europa.eu/esco/skill/2cae39d6-78c2-4ce3-bee8-628504371463,приймати товар,Correct,Correct,Correct
373,Адаптивність,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,адаптуватися до змін,Correct,Correct,Correct
373,організаторські здібності,http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,керувати графіком виконання завдань,Acceptable,Correct,Acceptable
367,Позитивне мислення,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,позитивно ставитись до викликів,Correct,Correct,Incorrect
360,контроль дебіторської заборгованості,http://data.europa.eu/esco/skill/68b51538-b056-4cb3-bb15-ab8c3e576cc9,стежити за дебіторською заборгованістю,Correct,Correct,Correct
359,Навчання персоналу,http://data.europa.eu/esco/skill/0cc9c234-f817-4f4c-908a-4d28fe3b0f4a,навчати співробітників,Correct,Correct,Correct
357,організація робочого часу,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,ефективно використовувати час,Correct,Correct,Correct
356,Працьовитість,http://data.europa.eu/esco/skill/a0cad388-3c4c-4786-b238-fc39f8c495af,наполегливість,Correct,Acceptable,Incorrect
355,самостійність,http://data.europa.eu/esco/skill/fd311456-d8d2-43ca-b6be-a66bbff90302,самостійно виконувати завдання,Correct,Correct,Correct
355,стратегічне планування,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2,стратегічне планування,Correct,Correct,Correct
346,увага до деталей,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,приділяти увагу деталям,Correct,Correct,Correct
346,Наполегливість,http://data.europa.eu/esco/skill/a0cad388-3c4c-4786-b238-fc39f8c495af,наполегливість,Correct,Correct,Correct
345,Управлінські навички,http://data.europa.eu/esco/skill/1d4be2e3-ac64-426f-838d-1e7cb8600927,управлінські навички,Correct,Correct,Correct
328,організація робочого простору,http://data.europa.eu/esco/skill/e5e48620-8476-42e9-bfa9-ffe0282a8ab0,організовувати робочий простір,Correct,Correct,Correct
320,Проведення касових операцій,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,працювати з касовим апаратом,Acceptable,Correct,Correct
318,Аналіз ринку,http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a,аналіз ринку,Correct,Correct,Correct
309,Маркетинг,http://data.europa.eu/esco/isced-f/0414,маркетинг і реклама,Correct,Correct,Correct
309,вміння дотримуватися графіку роботи,http://data.europa.eu/esco/skill/194c05ed-253c-485a-8bf0-0c8de1aaafda,дотримуватися робочого графіка,Correct,Correct,Correct
305,Швидке навчання,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання,Correct,Correct,Correct
305,MS PowerPoint,http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb,користуватися програмним забезпеченням для презентацій,Correct,Correct,Correct
299,готовність до навчання,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання,Correct,Correct,Correct
298,пошук нових клієнтів,http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8,шукати нових споживачів,Correct,Correct,Correct
296,Укладання договорів,http://data.europa.eu/esco/skill/1279a2e8-e44f-49b6-9a7f-9241d07d2ed3,укладати ділові угоди,Correct,Correct,Correct
294,Уміння працювати в режимі багатозадачності,http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604,виконувати кілька завдань одночасно,Correct,Correct,Correct
292,відсутність шкідливих звичок,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,забезпечувати дотримання правил компанії,Incorrect,Correct,Incorrect
291,консультація клієнтів,http://data.europa.eu/esco/skill/ac6ff889-328b-46ea-a8ee-e196443b2447,консультувати клієнтів,Correct,Correct,Correct
290,Роздрібна торгівля,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,торговельна діяльність,Acceptable,Correct,Correct
287,вміння працювати під тиском,http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,витримувати стрес,Correct,Correct,Correct
281,впевнений користувач ПК,http://data.europa.eu/esco/isced-f/0611,використання комп’ютера,Correct,Correct,Correct
281,Лідерство,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,очолювати інших людей,Correct,Correct,Correct
273,Windows,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,операційні системи,Correct,Correct,Correct
273,контроль якості продукції,http://data.europa.eu/esco/skill/1a3660c2-011c-4e96-9b1d-529afc305428,перевіряти якість продукції,Correct,Correct,Correct
272,Відкритість,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,зберігати відкритість до всього нового,Correct,Correct,Correct
271,HTML,http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,вебпрограмування,Correct,Acceptable,Correct
269,Excel,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office,Correct,Correct,Correct
266,Internet,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,мати навички роботи на комп’ютері,Correct,Acceptable,Acceptable
263,Стратегічне мислення,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2,стратегічне планування,Correct,Correct,Correct
260,вміння вести переговори,http://data.europa.eu/esco/skill/87de6e49-ca1c-42a4-8751-5ff0b991966b,вести переговори із зацікавленими сторонами,Correct,Correct,Correct
254,дотримання графіку роботи,http://data.europa.eu/esco/skill/194c05ed-253c-485a-8bf0-0c8de1aaafda,дотримуватися робочого графіка,Correct,Correct,Correct
253,Знання законодавства України,http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,забезпечувати дотримання вимог законодавства,Acceptable,Correct,Correct
252,вміння працювати в умовах високого тиску,http://data.europa.eu/esco/skill/a8460be3-f4ba-44a0-a961-0389069a3614,справлятися зі стресовими ситуаціями на робочому місці,Correct,Correct,Correct
250,вміння працювати самостійно,http://data.europa.eu/esco/skill/fd311456-d8d2-43ca-b6be-a66bbff90302,самостійно виконувати завдання,Correct,Correct,Correct
245,вміння працювати в динамічному середовищі,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,адаптуватися до змін ситуації,Correct,Correct,Correct
243,вміння працювати в швидкому темпі,http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604,виконувати кілька завдань одночасно,Acceptable,Acceptable,Incorrect
240,Висока працездатність,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота,Correct,Correct,Correct
240,вміння працювати з технічною документацією,http://data.europa.eu/esco/skill/cffc3e97-e942-4b13-a2f3-0bf4910c06d3,використовувати технічну документацію,Correct,Correct,Correct
239,дисципліна,http://data.europa.eu/esco/skill/4ddf5204-95f5-4be2-ad35-571e2f493ae5,застосовувати ділові якості,Incorrect,Incorrect,Acceptable
236,Впевненість,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,демонструвати впевненість,Correct,Correct,Correct
235,Figma,http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b,графічний дизайн,Correct,Correct,Correct
231,Адміністративна робота,http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,виконання загальних канцелярських і адміністративних завдань,Correct,Correct,Correct
231,Знання касової дисципліни,http://data.europa.eu/esco/skill/3982571a-e9ce-442a-a4a0-fdfc97727091,керувати касою,Correct,Correct,Acceptable
230,кар'єрне зростання,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,керувати особистим професійним розвитком,Correct,Correct,Correct
228,Приготування страв,http://data.europa.eu/esco/skill/ad6df7dc-b78a-413f-a10d-da929d7a9225,виробляти готові страви,Correct,Correct,Incorrect
227,Організація логістики,http://data.europa.eu/esco/skill/7c32a84c-2733-4bc7-8909-3b3413c9cc88,організовувати логістику,Correct,Correct,Correct
227,фізична витривалість,http://data.europa.eu/esco/skill/c80b2f08-ab07-4632-be78-68c6ec1f3b41,виконувати вантажно-розвантажувальні роботи,Incorrect,Acceptable,Acceptable
225,Проактивність,http://data.europa.eu/esco/skill/e186976a-64f0-4052-a25b-297d19e1d0ec,мислити проактивно,Correct,Correct,Correct
225,Word,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office,Correct,Correct,Correct
224,Активний продаж,http://data.europa.eu/esco/skill/c81c9ea3-4689-4146-9076-24dd175c69bc,здійснювати активний продаж,Correct,Correct,Correct
223,Активна життєва позиція,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,керувати особистим розвитком,Acceptable,Acceptable,Incorrect
222,Пользователь ПК,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,мати навички роботи на комп’ютері,Correct,Correct,Correct
218,професійне зростання,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,керувати особистим професійним розвитком,Correct,Correct,Correct
218,взаємодія з клієнтами,http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,спілкуватися зі споживачами,Correct,Correct,Correct
213,спілкування з клієнтами,http://data.europa.eu/esco/skill/2b69525c-731c-4813-99a7-673fa5679d32,консультувати клієнтів щодо вибору продукції,Correct,Correct,Acceptable
209,Продаж B2B,http://data.europa.eu/esco/skill/1279a2e8-e44f-49b6-9a7f-9241d07d2ed3,укладати ділові угоди,Correct,Correct,Correct
208,витривалість,http://data.europa.eu/esco/skill/51826e07-64c9-4d2c-9964-88cfbf131ad2,працювати в команді в небезпечних умовах,Incorrect,Correct,Acceptable
208,Продуктивність,http://data.europa.eu/esco/skill/db9463b7-5c24-46d2-8419-002e03bae1dc,досягати цільових показників продуктивності,Correct,Correct,Correct
206,бажання розвиватися,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання,Correct,Correct,Correct
204,Мерчендайзинг,http://data.europa.eu/esco/skill/7a450b0e-7b4f-446f-a045-fd7d2bf9361e,збирати візуальні дисплеї,Correct,Incorrect,Incorrect
202,Контроль документообігу,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1,документообіг,Correct,Correct,Correct
202,Дизайн,http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b,графічний дизайн,Correct,Correct,Correct
202,аналітичні здібності,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити,Correct,Correct,Correct
201,Робота із запереченнями,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,вирішувати конфлікти,Correct,Correct,Correct
201,вміння працювати в умовах високого навантаження,http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,витримувати стрес,Correct,Correct,Correct
200,AutoCAD,http://data.europa.eu/esco/skill/54ddd422-5905-44db-93d4-03b17b913c5e,користуватися програмним забезпеченням CADD,Correct,Correct,Correct
200,MS Outlook,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,використовувати Microsoft Office,Correct,Correct,Correct
199,Користувач Internet,http://data.europa.eu/esco/isced-f/068,"міждисциплінарні програми й кваліфікації, пов’язані з інформаційно-комунікаційними технологіями (ІКТ)",Acceptable,Acceptable,Acceptable
199,Проведення презентацій,http://data.europa.eu/esco/skill/fd446407-b08e-49da-b8e3-7e7c79618c3f,проводити публічні презентації,Correct,Correct,Correct
199,Аналіз даних,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,аналіз даних,Correct,Correct,Correct
197,віддалена робота,http://data.europa.eu/esco/skill/fd311456-d8d2-43ca-b6be-a66bbff90302,самостійно виконувати завдання,Acceptable,Acceptable,Correct
196,Гнучкість,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,адаптуватися до змін ситуації,Correct,Correct,Correct
195,консультування покупців,http://data.europa.eu/esco/skill/10f04ffe-7435-44d4-9f6f-6bf6e87b9a0e,консультувати щодо придбання,Correct,Correct,Correct
194,управління проектами,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,здійснювати управління проєктами,Correct,Correct,Correct
192,Професіоналізм,http://data.europa.eu/esco/skill/59ad10b1-6f71-4dd4-ad1f-a1fdf68bc2fb,проявляти професійну відповідальність,Correct,Correct,Acceptable
192,вміння працювати віддалено,http://data.europa.eu/esco/skill/580660a6-5d3a-421d-a54f-d85b706c2b2f,використовувати онлайн-інструменти для співпраці,Correct,Correct,Acceptable
189,Знання стандартів обслуговування,http://data.europa.eu/esco/skill/75dfe1ee-5935-42ce-b820-697f827825c3,підтримувати стандарти обслуговування споживачів,Correct,Correct,Correct
