count_total,raw_skill,esco_uri,esco_label
62,економічний аналіз,http://data.europa.eu/esco/skill/99571e68-801f-49af-a897-5f75996642e1,фінансовий аналіз
32,Ведення військового обліку,http://data.europa.eu/esco/skill/54f7875e-ca4c-4ff7-992d-10ce9ef8abfe,вести облік паспортів
34,1C,http://data.europa.eu/esco/isced-f/0413,управління й адміністрування
32,вміння працювати в умовах високого темпу,http://data.europa.eu/esco/skill/1677a5fe-a0f9-4a3f-862d-91c0a2ff1983,здійснювати роботу в умовах коротких виробничих кінцевих строків
30,Адміністрування сайту,http://data.europa.eu/esco/skill/89bb44dc-9f4c-400b-86cd-dcd0bd599a58,обслуговувати електронні системи
42,військова служба,http://data.europa.eu/esco/skill/1143e53e-2933-472d-8161-f26d6936c927,керувати військовими підрозділами
59,нарахування зарплати,http://data.europa.eu/esco/skill/207f87c4-ac68-4987-990c-636ca19c2626,розраховувати заробітну плату
41,вміння працювати в стресових ситуаціях,http://data.europa.eu/esco/skill/a8460be3-f4ba-44a0-a961-0389069a3614,справлятися зі стресовими ситуаціями на робочому місці
36,Оформлення вітрини,http://data.europa.eu/esco/skill/1e35e9c9-260c-4ad0-baa6-5c92da9f048f,готувати програми виставок
54,Контроль кредиторської заборгованості,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,бухгалтерський облік
97,Емпатійність,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,проявляти емпатію
31,брендинг,http://data.europa.eu/esco/skill/66fda9e5-f9f7-4342-b4f1-23355bcdd0b9,розробляти рекламні інструменти
66,ЛІГА:ЗАКОН,http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,ведення переговорів і управління контрактами й угодами
32,оптимізація процесів,http://data.europa.eu/esco/skill/10026df1-670d-4c75-b3d5-ee0037f9d59b,проводити оптимізацію процесу
30,Збір замовлень,http://data.europa.eu/esco/skill/4ad83664-21a9-4f96-8834-0fc8f671be9c,обробляти замовлення на відправку
48,вміння знаходити спільну мову з людьми,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,спілкування
30,навички ведення звітності,http://data.europa.eu/esco/skill/d0f2f8a7-d935-4a6d-8e54-dcc3e5e2cbeb,складати звіти
66,Docker,http://data.europa.eu/esco/skill/42cb7669-c371-4903-9c0b-13db67b2e4bb,новітні технології
59,робота з технічною документацією,http://data.europa.eu/esco/skill/cffc3e97-e942-4b13-a2f3-0bf4910c06d3,використовувати технічну документацію
48,Розробка контент-плану,http://data.europa.eu/esco/skill/b0560439-14eb-41d1-aa53-1938efc24123,стратегія контент-маркетингу
30,Публічні виступи,http://data.europa.eu/esco/skill/fd446407-b08e-49da-b8e3-7e7c79618c3f,проводити публічні презентації
75,командна робота,http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,співпрацювати з колегами
45,претензійно-позовна робота,http://data.europa.eu/esco/skill/7726fc5e-a972-4f0a-abbe-6be3043422f9,представляти інтереси клієнтів у судах
74,вміння виконувати завдання в обмежений час,http://data.europa.eu/esco/skill/1677a5fe-a0f9-4a3f-862d-91c0a2ff1983,виконувати завдання в обмежений час
47,Ведення касової книги,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,бухгалтерський облік
48,результативність,http://data.europa.eu/esco/skill/c513cf4e-83bb-4edc-9ac8-2a7df04a9451,"управління, орієнтоване на результат"
35,водіння автомобілів категорії В,http://data.europa.eu/esco/skill/2a82241a-216e-44d8-bb50-6b9a0ef82084,керувати транспортними засобами
54,вміння виконувати завдання за інструкціями,http://data.europa.eu/esco/skill/e3211ab2-18b5-49b4-90de-d395f3be2378,виконувати робочі інструкції
87,медична освіта,http://data.europa.eu/esco/skill/38cd93b5-af8a-4528-a0f0-f8439ccb4b09,відповідати на запитання пацієнтів
31,Безаварійне водіння,http://data.europa.eu/esco/skill/20a7df5e-f388-4073-b3e2-4bf7a4c46f28,гарантувати дотримання правил безпечного водіння
40,відповідальність за якість сервісу,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,забезпечувати високу якість обслуговування клієнтів
37,Внутрішній аудит,http://data.europa.eu/esco/skill/8804d963-5a31-4609-b5df-f741b7199fb7,внутрішній аудит
70,Створення відеоконтенту,http://data.europa.eu/esco/isced-f/0211,аудіовізуальні технології  та медіапродукція
45,Робота з оргтехнікою,http://data.europa.eu/esco/skill/5a234b3b-63b4-482f-b481-a1ff9d95bbf8,офісне обладнання
79,продаж товарів,http://data.europa.eu/esco/skill/c1388df1-47bd-4fd5-8b71-dce7886ef21b,робота відділу продажів
37,комунікація з колегами,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,спілкування
52,відповідальність за результати роботи,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,нести відповідальність
34,вміння виконувати роботу з дотриманням термінів,http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363,дотримуватися термінів
35,психологічна підтримка,http://data.europa.eu/esco/skill/ea28ce13-e620-4191-95c3-3e0f0f867834,послуги психологічної допомоги
46,вміння вчитися новому,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання
36,вміння розвиватися професійно,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,керувати особистим професійним розвитком
63,Виконавчість,http://data.europa.eu/esco/skill/25e16679-a7d0-464d-916c-63210001bbab,діяти надійно
32,вміння отримувати та використовувати зворотний зв’язок,http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075,підтримувати зворотний зв’язок
80,проведення інвентаризації,http://data.europa.eu/esco/skill/35718973-913e-447b-a968-83e66e6c8872,проводити інвентаризацію товарів на виробництві
86,бажання працювати,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання
33,прийом товарів,http://data.europa.eu/esco/skill/2cae39d6-78c2-4ce3-bee8-628504371463,приймати товар
58,Photoshop,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop
52,виконання планових показників,http://data.europa.eu/esco/skill/db9463b7-5c24-46d2-8419-002e03bae1dc,досягати цільових показників продуктивності
78,Налаштування таргетованої реклами,http://data.europa.eu/esco/skill/e8f602f8-b98b-4071-b088-c65e016cdf98,медіапланування
30,Уміння розставляти пріоритети,http://data.europa.eu/esco/skill/f642d7ed-e8d7-4355-a747-b85094d4e2e3,визначати пріоритетність запитів
74,Амбіційність,http://data.europa.eu/esco/skill/272fddbb-917a-4720-8903-85ce51e1cbe5,впроваджувати далекосяжні прагнення в управління бізнесом
31,вміння працювати з асортиментом товарів,http://data.europa.eu/esco/skill/d2de37c7-7233-481b-8b1a-f4dfde11ca91,консультувати щодо особливостей товарів
31,володіння російською мовою,http://data.europa.eu/esco/skill/895b3eab-d1e7-443d-8ba3-745f67462207,спілкуватися російською мовою
41,Digital.маркетинг,http://data.europa.eu/esco/skill/e8f602f8-b98b-4071-b088-c65e016cdf98,медіапланування
34,вміння працювати в умовах змін,http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10,адаптуватися до змін ситуації
46,Управління підприємством,http://data.europa.eu/esco/isced-f/0413,управління й адміністрування
65,SolidWorks,http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1,програмне забезпечення для автоматизованого проєктування
46,Scrum,http://data.europa.eu/esco/skill/8ff015a0-98ea-4d80-a23e-1f68110a919e,методології розробки програмного забезпечення
47,обслуговування гостей,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,забезпечувати високу якість обслуговування клієнтів
60,Водіння навантажувача,http://data.europa.eu/esco/skill/4c476f5c-6ece-41e4-a97c-62d4244057e8,керувати телескопічним навантажувачем
33,виконання інструкцій,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,дотримуватися організаційних інструкцій
54,оптимізм,http://data.europa.eu/esco/isced-f/0031,особисті навички та розвиток
30,інвентаризація товарів,http://data.europa.eu/esco/skill/35718973-913e-447b-a968-83e66e6c8872,вести інвентаризацію товарів на виробництві
33,висока мотивація,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,проявляти ініціативу
34,самоосвіта,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,демонструвати готовність до навчання
80,вільне володіння українською мовою,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,українська мова
35,відкритість до зворотного зв’язку,http://data.europa.eu/esco/skill/dbc538a0-7d1d-4394-b2f6-8fae44a55d86,надавати зворотний зв’язок виконавцям
32,Стрільба,http://data.europa.eu/esco/skill/0b2701ed-e85a-4d02-a68b-ef5c695f785a,користуватися вогнепальною зброєю
65,охайний зовнішній вигляд,http://data.europa.eu/esco/skill/0e21e183-e787-4f23-a240-93b416c088c2,дотримуватися стандартів особистої гігієни
38,Знання принципів ООП,http://data.europa.eu/esco/isced-f/0613,розроблення й аналіз програмного забезпечення та прикладних програм
30,Исполнительность,http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363,дотримуватися термінів
65,водіння автомобіля,http://data.europa.eu/esco/skill/dbbbe31a-9b8c-4459-a830-84363648f52c,водіння легкових автомобілів
40,відкритість до спілкування,http://data.europa.eu/esco/skill/797b8d0a-e708-4df4-a67b-590956f82522,налагоджувати ефективні робочі відносини з іншими гравцями
45,розміщення цінників,http://data.europa.eu/esco/skill/6ffdcb09-16bc-4480-9ac8-40fdbf915712,наклеювати цінники
54,Зйомка stories,http://data.europa.eu/esco/skill/64e09849-a7db-4d6b-a932-66264420eb97,застосовувати маркетинг у соціальних мережах
